Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
4	23	combined	Drop	0	0	0	0
4	24	combined	Drop	0	0	0	0
4	25	combined	Drop	0	0	0	0
4	26	combined	Drop	0	0	0	0
4	27	combined	Drop	0	0	0	0
4	28	combined	Drop	0	0	0	0
4	29	combined	Drop	0	0	0	0
4	30	combined	Drop	0	0	0	0
4	31	combined	Drop	0	0	0	0
4	32	combined	Drop	0	0	0	0
4	33	combined	Drop	0	0	0	0
4.5	0	combined	Drop	0	0	0	0
4.5	1	combined	Drop	0	0	0	0
4.5	2	combined	Drop	0	0	0	0
4.5	3	combined	Drop	0	0	0	0
4.5	4	combined	Drop	0	0	0	0
4.5	5	combined	Drop	0	0	0	0
4.5	6	combined	Drop	0	0	0	0
4.5	7	combined	Drop	0	0	0	0
4.5	8	combined	Drop	0	0	0	0
4.5	9	combined	Drop	0	0	0	0
4.5	10	combined	Drop	0	0	0	0
4.5	11	combined	Drop	0	0	0	0
4.5	12	combined	Drop	0	0	0	0
4.5	13	combined	Drop	0	0	0	0
4.5	14	combined	Drop	0	0	0	0
4.5	15	combined	Drop	0	0	0	0
4.5	16	combined	Drop	0	0	0	0
4.5	17	combined	Drop	0	0	0	0
4.5	18	combined	Drop	0	0	0	0
4.5	19	combined	Drop	0	0	0	0
4.5	20	combined	Drop	0	0	0	0
4.5	21	combined	Drop	0	0	0	0
4.5	22	combined	Drop	0	0	0	0
4.5	23	combined	Drop	0	0	0	0
4.5	24	combined	Drop	0	0	0	0
4.5	25	combined	Drop	0	0	0	0
4.5	26	combined	Drop	0	0	0	0
4.5	27	combined	Drop	0	0	0	0
4.5	28	combined	Drop	0	0	0	0
4.5	29	combined	Drop	0	0	0	0
4.5	30	combined	Drop	0	0	0	0
4.5	31	combined	Drop	0	0	0	0
4.5	32	combined	Drop	0	0	0	0
4.5	33	combined	Drop	0	0	0	0
5	0	combined	Drop	0	0	0	0
5	1	combined	Drop	0	0	0	0
5	2	combined	Drop	0	0	0	0
5	3	combined	Drop	0	0	0	0
5	4	combined	Drop	0	0	0	0
5	5	combined	Drop	0	0	0	0
5	6	combined	Drop	0	0	0	0
5	7	combined	Drop	0	0	0	0
5	8	combined	Drop	0	0	0	0
5	9	combined	Drop	0	0	0	0
5	10	combined	Drop	0	0	0	0
5	11	combined	Drop	0	0	0	0
5	12	combined	Drop	0	0	0	0
5	13	combined	Drop	0	0	0	0
5	14	combined	Drop	0	0	0	0
5	15	combined	Drop	0	0	0	0
5	16	combined	Drop	0	0	0	0
5	17	combined	Drop	0	0	0	0
5	18	combined	Drop	0	0	0	0
5	19	combined	Drop	0	0	0	0
5	20	combined	Drop	0	0	0	0
5	21	combined	Drop	0	0	0	0
5	22	combined	Drop	0	0	0	0
5	23	combined	Drop	0	0	0	0
5	24	combined	Drop	0	0	0	0
5	25	combined	Drop	0	0	0	0
5	26	combined	Drop	0	0	0	0
5	27	combined	Drop	0	0	0	0
5	28	combined	Drop	0	0	0	0
5	29	combined	Drop	0	0	0	0
5	30	combined	Drop	0	0	0	0
5	31	combined	Drop	0	0	0	0
5	32	combined	Drop	0	0	0	0
5	33	combined	Drop	0	0	0	0
5.5	0	combined	Drop	0	0	0	0
5.5	1	combined	Drop	0	0	0	0
5.5	2	combined	Drop	0	0	0	0
5.5	3	combined	Drop	0	0	0	0
5.5	4	combined	Drop	0	0	0	0
5.5	5	combined	Drop	0	0	0	0
5.5	6	combined	Drop	0	0	0	0
5.5	7	combined	Drop	0	0	0	0
5.5	8	combined	Drop	0	0	0	0
5.5	9	combined	Drop	0	0	0	0
5.5	10	combined	Drop	0	0	0	0
5.5	11	combined	Drop	0	0	0	0
5.5	12	combined	Drop	0	0	0	0
5.5	13	combined	Drop	0	0	0	0
5.5	14	combined	Drop	0	0	0	0
5.5	15	combined	Drop	0	0	0	0
5.5	16	combined	Drop	0	0	0	0
5.5	17	combined	Drop	0	0	0	0
5.5	18	combined	Drop	0	0	0	0
5.5	19	combined	Drop	0	0	0	0
5.5	20	combined	Drop	0	0	0	0
5.5	21	combined	Drop	0	0	0	0
5.5	22	combined	Drop	0	0	0	0
5.5	23	combined	Drop	0	0	0	0
5.5	24	combined	Drop	0	0	0	0
5.5	25	combined	Drop	0	0	0	0
5.5	26	combined	Drop	0	0	0	0
5.5	27	combined	Drop	0	0	0	0
5.5	28	combined	Drop	0	0	0	0
5.5	29	combined	Drop	0	0	0	0
5.5	30	combined	Drop	0	0	0	0
5.5	31	combined	Drop	0	0	0	0
5.5	32	combined	Drop	0	0	0	0
5.5	33	combined	Drop	0	0	0	0
6	0	combined	Drop	0	0	0	0
6	1	combined	Drop	0	0	0	0
6	2	combined	Drop	0	0	0	0
6	3	combined	Drop	0	0	0	0
6	4	combined	Drop	0	0	0	0
6	5	combined	Drop	0	0	0	0
6	6	combined	Drop	0	0	0	0
6	7	combined	Drop	0	0	0	0
6	8	combined	Drop	0	0	0	0
6	9	combined	Drop	0	0	0	0
6	10	combined	Drop	0	0	0	0
6	11	combined	Drop	0	0	0	0
6	12	combined	Drop	0	0	0	0
6	13	combined	Drop	0	0	0	0
6	14	combined	Drop	0	0	0	0
6	15	combined	Drop	0	0	0	0
6	16	combined	Drop	0	0	0	0
6	17	combined	Drop	0	0	0	0
6	18	combined	Drop	0	0	0	0
6	19	combined	Drop	0	0	0	0
6	20	combined	Drop	0	0	0	0
6	21	combined	Drop	0	0	0	0
6	22	combined	Drop	0	0	0	0
6	23	combined	Drop	0	0	0	0
6	24	combined	Drop	0	0	0	0
6	25	combined	Drop	0	0	0	0
6	26	combined	Drop	0	0	0	0
6	27	combined	Drop	0	0	0	0
6	28	combined	Drop	0	0	0	0
6	29	combined	Drop	0	0	0	0
6	30	combined	Drop	0	0	0	0
6	31	combined	Drop	0	0	0	0
6	32	combined	Drop	0	0	0	0
6	33	combined	Drop	0	0	0	0
6.5	0	combined	Drop	0	0	0	0
6.5	1	combined	Drop	0	0	0	0
6.5	2	combined	Drop	0	0	0	0
6.5	3	combined	Drop	0	0	0	0
6.5	4	combined	Drop	0	0	0	0
6.5	5	combined	Drop	0	0	0	0
6.5	6	combined	Drop	0	0	0	0
6.5	7	combined	Drop	0	0	0	0
6.5	8	combined	Drop	0	0	0	0
