+98000000000.0ns POS: x=34.08, y=502, z=0; VEL:9.85, y=0, z=0
+98000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+99000000000.0ns POS: x=43.93, y=502, z=0; VEL:11.69, y=0, z=0
+99000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+100000000000.0ns POS: x=55.62, y=502, z=0; VEL:13.02, y=0, z=0
+100000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+101000000000.0ns POS: x=68.64, y=502, z=0; VEL:14.84, y=0, z=0
+101000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+102000000000.0ns POS: x=83.48, y=502, z=0; VEL:17.25, y=0, z=0
+102000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+103000000000.0ns POS: x=100.73, y=502, z=0; VEL:19.63, y=0, z=0
+103000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+104000000000.0ns POS: x=120.36, y=502, z=0; VEL:19.68, y=0, z=0
+104000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+105000000000.0ns POS: x=140.04, y=502, z=0; VEL:18.99, y=0, z=0
+105000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+106000000000.0ns POS: x=159.03, y=502, z=0; VEL:19.75, y=0, z=0
+106000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+107000000000.0ns POS: x=178.78, y=502, z=0; VEL:18.97, y=0, z=0
+107000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+108000000000.0ns POS: x=197.75, y=502, z=0; VEL:18.69, y=0, z=0
+108000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+109000000000.0ns POS: x=216.44, y=502, z=0; VEL:19.26, y=0, z=0
+109000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+110000000000.0ns POS: x=235.7, y=502, z=0; VEL:19.16, y=0, z=0
+110000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+111000000000.0ns POS: x=254.86, y=502, z=0; VEL:19.47, y=0, z=0
+111000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+112000000000.0ns POS: x=274.33, y=502, z=0; VEL:19.27, y=0, z=0
+112000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+113000000000.0ns POS: x=293.6, y=502, z=0; VEL:19.13, y=0, z=0
+113000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+114000000000.0ns POS: x=312.73, y=502, z=0; VEL:18.6, y=0, z=0
+114000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+115000000000.0ns POS: x=331.33, y=502, z=0; VEL:18.88, y=0, z=0
+115000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+116000000000.0ns POS: x=350.21, y=502, z=0; VEL:19.74, y=0, z=0
+116000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:0, y=0, z=0
+117000000000.0ns POS: x=369.95, y=502, z=0; VEL:19.01, y=0, z=0
+117000000000.0ns POS: x=508.4, y=525.126, z=0; VEL:2.08767e-07, y=-2.3, z=0
+118000000000.0ns POS: x=388.96, y=502, z=0; VEL:18.59, y=0, z=0
+118000000000.0ns POS: x=508.4, y=522.826, z=0; VEL:4.1869e-08, y=-3.77, z=0
+119000000000.0ns POS: x=407.55, y=502, z=0; VEL:19.13, y=0, z=0
+119000000000.0ns POS: x=508.4, y=519.056, z=0; VEL:5.33041e-09, y=-5.53, z=0
+120000000000.0ns POS: x=426.68, y=502, z=0; VEL:18.97, y=0, z=0
+120000000000.0ns POS: x=508.4, y=513.526, z=0; VEL:4.74723e-10, y=-7.83, z=0
+121000000000.0ns POS: x=445.65, y=502, z=0; VEL:16.3522, y=3.13522, z=0
+121000000000.0ns POS: x=508.4, y=505.696, z=0; VEL:3.02056e-11, y=-9.43, z=0
+122000000000.0ns POS: x=462.002, y=505.135, z=0; VEL:14.3499, y=0.0632856, z=0
+122000000000.0ns POS: x=508.4, y=496.266, z=0; VEL:1.63187e-12, y=-11.68, z=0
+123000000000.0ns POS: x=476.352, y=505.199, z=0; VEL:9.85, y=0.00143973, z=0
+123000000000.0ns POS: x=508.4, y=484.586, z=0; VEL:5.44378e-14, y=-12.12, z=0
+124000000000.0ns POS: x=486.202, y=505.2, z=0; VEL:6.11, y=4.81975e-05, z=0
