Time	Node	Type	Packets	
3.5	13	CacheMisses	0
3.5	14	CacheHits	0
3.5	14	CacheMisses	0
3.5	15	CacheHits	0
3.5	15	CacheMisses	0
3.5	16	CacheHits	0
3.5	16	CacheMisses	0
3.5	17	CacheHits	0
3.5	17	CacheMisses	0
3.5	18	CacheHits	0
3.5	18	CacheMisses	0
3.5	19	CacheHits	0
3.5	19	CacheMisses	0
3.5	20	CacheHits	0
3.5	20	CacheMisses	0
3.5	21	CacheHits	0
3.5	21	CacheMisses	0
3.5	22	CacheHits	0
3.5	22	CacheMisses	0
3.5	23	CacheHits	0
3.5	23	CacheMisses	0
3.5	24	CacheHits	0
3.5	24	CacheMisses	0
3.5	25	CacheHits	0
3.5	25	CacheMisses	0
3.5	26	CacheHits	0
3.5	26	CacheMisses	0
3.5	27	CacheHits	0
3.5	27	CacheMisses	0
3.5	28	CacheHits	0
3.5	28	CacheMisses	0
3.5	29	CacheHits	0
3.5	29	CacheMisses	0
3.5	30	CacheHits	0
3.5	30	CacheMisses	0
3.5	31	CacheHits	0
3.5	31	CacheMisses	0
3.5	32	CacheHits	0
3.5	32	CacheMisses	0
3.5	33	CacheHits	0
3.5	33	CacheMisses	0
4	0	CacheHits	0
4	0	CacheMisses	2
4	1	CacheHits	0
4	1	CacheMisses	2
4	2	CacheHits	0
4	2	CacheMisses	2
4	3	CacheHits	0
4	3	CacheMisses	2
4	4	CacheHits	0
4	4	CacheMisses	2
4	5	CacheHits	0
4	5	CacheMisses	2
4	6	CacheHits	0
4	6	CacheMisses	2
4	7	CacheHits	0
4	7	CacheMisses	2
4	8	CacheHits	0
4	8	CacheMisses	2
4	9	CacheHits	0
4	9	CacheMisses	2
4	10	CacheHits	0
4	10	CacheMisses	2
4	11	CacheHits	0
4	11	CacheMisses	2
4	12	CacheHits	0
4	12	CacheMisses	2
4	13	CacheHits	0
4	13	CacheMisses	2
4	14	CacheHits	0
4	14	CacheMisses	2
4	15	CacheHits	0
4	15	CacheMisses	2
4	16	CacheHits	0
4	16	CacheMisses	2
4	17	CacheHits	0
4	17	CacheMisses	2
4	18	CacheHits	0
4	18	CacheMisses	2
4	19	CacheHits	0
4	19	CacheMisses	2
4	20	CacheHits	0
4	20	CacheMisses	2
4	21	CacheHits	0
4	21	CacheMisses	2
4	22	CacheHits	0
4	22	CacheMisses	2
4	23	CacheHits	0
4	23	CacheMisses	2
4	24	CacheHits	0
4	24	CacheMisses	2
4	25	CacheHits	0
4	25	CacheMisses	2
4	26	CacheHits	0
4	26	CacheMisses	2
4	27	CacheHits	0
4	27	CacheMisses	2
4	28	CacheHits	0
4	28	CacheMisses	2
4	29	CacheHits	0
4	29	CacheMisses	2
4	30	CacheHits	0
4	30	CacheMisses	2
4	31	CacheHits	0
4	31	CacheMisses	2
4	32	CacheHits	0
4	32	CacheMisses	2
4	33	CacheHits	0
4	33	CacheMisses	0
4.5	0	CacheHits	0
4.5	0	CacheMisses	0
4.5	1	CacheHits	0
4.5	1	CacheMisses	0
4.5	2	CacheHits	0
4.5	2	CacheMisses	0
4.5	3	CacheHits	0
4.5	3	CacheMisses	0
4.5	4	CacheHits	0
4.5	4	CacheMisses	0
4.5	5	CacheHits	0
4.5	5	CacheMisses	0
4.5	6	CacheHits	0
4.5	6	CacheMisses	0
4.5	7	CacheHits	0
4.5	7	CacheMisses	0
4.5	8	CacheHits	0
4.5	8	CacheMisses	0
4.5	9	CacheHits	0
4.5	9	CacheMisses	0
4.5	10	CacheHits	0
4.5	10	CacheMisses	0
4.5	11	CacheHits	0
4.5	11	CacheMisses	0
4.5	12	CacheHits	0
4.5	12	CacheMisses	0
4.5	13	CacheHits	0
4.5	13	CacheMisses	0
4.5	14	CacheHits	0
4.5	14	CacheMisses	0
4.5	15	CacheHits	0
4.5	15	CacheMisses	0
4.5	16	CacheHits	0
4.5	16	CacheMisses	0
4.5	17	CacheHits	0
4.5	17	CacheMisses	0
4.5	18	CacheHits	0
4.5	18	CacheMisses	0
4.5	19	CacheHits	0
4.5	19	CacheMisses	0
4.5	20	CacheHits	0
4.5	20	CacheMisses	0
4.5	21	CacheHits	0
4.5	21	CacheMisses	0
4.5	22	CacheHits	0
4.5	22	CacheMisses	0
4.5	23	CacheHits	0
