Time	Node	Type	Packets	
7	13	CacheMisses	2
7	14	CacheHits	0
7	14	CacheMisses	2
7	15	CacheHits	0
7	15	CacheMisses	2
7	16	CacheHits	0
7	16	CacheMisses	2
7	17	CacheHits	0
7	17	CacheMisses	2
7	18	CacheHits	0
7	18	CacheMisses	2
7	19	CacheHits	0
7	19	CacheMisses	2
7	20	CacheHits	0
7	20	CacheMisses	2
7	21	CacheHits	0
7	21	CacheMisses	2
7	22	CacheHits	0
7	22	CacheMisses	2
7	23	CacheHits	0
7	23	CacheMisses	2
7	24	CacheHits	0
7	24	CacheMisses	2
7	25	CacheHits	0
7	25	CacheMisses	2
7	26	CacheHits	0
7	26	CacheMisses	2
7	27	CacheHits	0
7	27	CacheMisses	2
7	28	CacheHits	0
7	28	CacheMisses	2
7	29	CacheHits	0
7	29	CacheMisses	2
7	30	CacheHits	0
7	30	CacheMisses	2
7	31	CacheHits	0
7	31	CacheMisses	2
7	32	CacheHits	0
7	32	CacheMisses	2
7	33	CacheHits	0
7	33	CacheMisses	2
7	34	CacheHits	0
7	34	CacheMisses	2
7	35	CacheHits	0
7	35	CacheMisses	0
8	0	CacheHits	0
8	0	CacheMisses	2
8	1	CacheHits	0
8	1	CacheMisses	2
8	2	CacheHits	0
8	2	CacheMisses	2
8	3	CacheHits	0
8	3	CacheMisses	2
8	4	CacheHits	0
8	4	CacheMisses	2
8	5	CacheHits	0
8	5	CacheMisses	2
8	6	CacheHits	0
8	6	CacheMisses	2
8	7	CacheHits	0
8	7	CacheMisses	2
8	8	CacheHits	0
8	8	CacheMisses	2
8	9	CacheHits	0
8	9	CacheMisses	2
8	10	CacheHits	0
8	10	CacheMisses	2
8	11	CacheHits	0
8	11	CacheMisses	2
8	12	CacheHits	0
8	12	CacheMisses	2
8	13	CacheHits	0
8	13	CacheMisses	2
8	14	CacheHits	0
8	14	CacheMisses	2
8	15	CacheHits	0
8	15	CacheMisses	2
8	16	CacheHits	0
8	16	CacheMisses	2
8	17	CacheHits	0
8	17	CacheMisses	2
8	18	CacheHits	0
8	18	CacheMisses	2
8	19	CacheHits	0
8	19	CacheMisses	2
8	20	CacheHits	0
8	20	CacheMisses	2
8	21	CacheHits	0
8	21	CacheMisses	2
8	22	CacheHits	0
8	22	CacheMisses	2
8	23	CacheHits	0
8	23	CacheMisses	2
8	24	CacheHits	0
8	24	CacheMisses	2
8	25	CacheHits	0
8	25	CacheMisses	2
8	26	CacheHits	0
8	26	CacheMisses	2
8	27	CacheHits	0
8	27	CacheMisses	2
8	28	CacheHits	0
8	28	CacheMisses	2
8	29	CacheHits	0
8	29	CacheMisses	2
8	30	CacheHits	0
8	30	CacheMisses	2
8	31	CacheHits	0
8	31	CacheMisses	2
8	32	CacheHits	0
8	32	CacheMisses	2
8	33	CacheHits	0
8	33	CacheMisses	2
8	34	CacheHits	0
8	34	CacheMisses	2
8	35	CacheHits	0
8	35	CacheMisses	0
9	0	CacheHits	0
9	0	CacheMisses	2
9	1	CacheHits	0
9	1	CacheMisses	2
9	2	CacheHits	0
9	2	CacheMisses	2
9	3	CacheHits	0
